consensus_rank,rank,player_name,team,position,highest_level,age,eta,fv,source_url,consensus_score,sources_ranked_by,source_ranks
1,1.0,Jesús Made,Milwaukee Brewers,SS,AA,19,2027,65,https://www.mlb.com/prospects/stats/top-prospects,1.3333333333333333,3,"{'MLB Pipeline': 1.0, 'Just Baseball': 1.0, 'FanGraphs': 2.0}"
2,2.0,Leo De Vries,Athletics,SS,AA,19,2027,60,https://www.mlb.com/prospects/stats/top-prospects,3.6666666666666665,3,"{'MLB Pipeline': 2.0, 'Just Baseball': 3.0, 'FanGraphs': 6.0}"
3,2.0,Franklin Arias,Boston Red Sox,SS,AAA,20,2026,60+,https://www.justbaseball.com/prospects/top-100-mlb-prospects/,6.333333333333333,3,"{'MLB Pipeline': 3.0, 'Just Baseball': 2.0, 'FanGraphs': 14.0}"
4,4.0,Eli Willits,Washington Nationals,SS,A+,18,2028,55+,https://www.mlb.com/prospects/stats/top-prospects,10.333333333333334,3,"{'MLB Pipeline': 4.0, 'Just Baseball': 12.0, 'FanGraphs': 15.0}"
5,4.0,Ryan Sloan,Seattle Mariners,RHP,AA,20,2027,60,https://www.justbaseball.com/prospects/top-100-mlb-prospects/,10.666666666666666,3,"{'MLB Pipeline': 8.0, 'Just Baseball': 4.0, 'FanGraphs': 20.0}"
6,6.0,Josue De Paula,Los Angeles Dodgers,OF,AA,21,2027,60,https://www.mlb.com/prospects/stats/top-prospects,11.0,3,"{'MLB Pipeline': 6.0, 'Just Baseball': 10.0, 'FanGraphs': 17.0}"
7,6.0,Walker Jenkins,Minnesota Twins,OF,MLB,21,2026,60,https://www.justbaseball.com/prospects/top-100-mlb-prospects/,17.0,3,"{'MLB Pipeline': 14.0, 'Just Baseball': 6.0, 'FanGraphs': 31.0}"
8,15.0,Rainiel Rodriguez,St. Louis Cardinals,C,AA,19,2028,55+,https://www.justbaseball.com/prospects/top-100-mlb-prospects/,19.0,3,"{'MLB Pipeline': 17.0, 'Just Baseball': 15.0, 'FanGraphs': 25.0}"
9,9.0,Sebastian Walcott,Texas Rangers,"SS, 3B",AA,20,2027,55+,https://www.mlb.com/prospects/stats/top-prospects,19.0,3,"{'MLB Pipeline': 9.0, 'Just Baseball': 18.0, 'FanGraphs': 30.0}"
10,5.0,Seth Hernandez,Pittsburgh Pirates,RHP,A+,20,2028,60,https://www.justbaseball.com/prospects/top-100-mlb-prospects/,19.0,3,"{'MLB Pipeline': 7.0, 'Just Baseball': 5.0, 'FanGraphs': 45.0}"
11,5.0,Kade Anderson,Seattle Mariners,LHP,MLB,22,2026,60,https://www.mlb.com/prospects/stats/top-prospects,21.0,3,"{'MLB Pipeline': 5.0, 'Just Baseball': 8.0, 'FanGraphs': 50.0}"
12,21.0,Alfredo Duno,Cincinnati Reds,C,AA,20,2027,55,https://www.mlb.com/prospects/stats/top-prospects,21.666666666666668,3,"{'MLB Pipeline': 21.0, 'Just Baseball': 22.0, 'FanGraphs': 22.0}"
13,9.0,Thomas White,MIA,SP,AAA,21.4,2027,60,https://blogs.fangraphs.com/2026-top-100-prospects/,24.0,3,"{'MLB Pipeline': 36.0, 'Just Baseball': 27.0, 'FanGraphs': 9.0}"
14,20.0,Luis Peña,MIL,SS,A+,19,2028,55,https://www.mlb.com/prospects/stats/top-prospects,24.333333333333332,3,"{'MLB Pipeline': 20.0, 'Just Baseball': 29.0, 'FanGraphs': 24.0}"
15,13.0,George Lombard Jr.,New York Yankees,SS,MLB,21,2026,55+,https://www.mlb.com/prospects/stats/top-prospects,25.0,3,"{'MLB Pipeline': 13.0, 'Just Baseball': 13.0, 'FanGraphs': 49.0}"
16,14.0,Eduardo Quintero,Los Angeles Dodgers,OF,A+,20,2028,55+,https://www.justbaseball.com/prospects/top-100-mlb-prospects/,25.333333333333332,3,"{'MLB Pipeline': 19.0, 'Just Baseball': 14.0, 'FanGraphs': 43.0}"
17,16.0,Josuar Gonzalez,San Francisco Giants,SS,A,18,2029,55+,https://www.mlb.com/prospects/stats/top-prospects,26.666666666666668,3,"{'MLB Pipeline': 16.0, 'Just Baseball': 20.0, 'FanGraphs': 44.0}"
18,21.0,Ralphy Velazquez,Cleveland Guardians,1B,AAA,21,2027,55,https://www.justbaseball.com/prospects/top-100-mlb-prospects/,30.666666666666668,3,"{'MLB Pipeline': 31.0, 'Just Baseball': 21.0, 'FanGraphs': 40.0}"
19,23.0,Angel Genao,Cleveland Guardians,SS,MLB,22,2026,55,https://www.justbaseball.com/prospects/top-100-mlb-prospects/,31.0,3,"{'MLB Pipeline': 28.0, 'Just Baseball': 23.0, 'FanGraphs': 42.0}"
20,29.0,Caleb Bonemer,CHW,3B,A+,20,2029,50,https://www.mlb.com/prospects/stats/top-prospects,32.333333333333336,3,"{'MLB Pipeline': 29.0, 'Just Baseball': 35.0, 'FanGraphs': 33.0}"
21,27.0,Zyhir Hope,Detroit Tigers,OF,AA,21,2027,55,https://www.mlb.com/prospects/stats/top-prospects,32.666666666666664,3,"{'MLB Pipeline': 27.0, 'Just Baseball': 30.0, 'FanGraphs': 41.0}"
22,13.0,Aidan Miller,PHI,SS,AAA,21.7,2026,55,https://blogs.fangraphs.com/2026-top-100-prospects/,35.333333333333336,3,"{'MLB Pipeline': 60.0, 'Just Baseball': 33.0, 'FanGraphs': 13.0}"
23,25.0,Arjun Nimmala,Los Angeles Angels,SS,AA,20,2027,55,https://www.justbaseball.com/prospects/top-100-mlb-prospects/,36.666666666666664,3,"{'MLB Pipeline': 37.0, 'Just Baseball': 25.0, 'FanGraphs': 48.0}"
24,7.0,Max Clark,DET,CF,AA,21.2,2027,60,https://blogs.fangraphs.com/2026-top-100-prospects/,38.333333333333336,2,"{'MLB Pipeline': None, 'Just Baseball': 11.0, 'FanGraphs': 7.0}"
25,7.0,Theo Gillen,Tampa Bay Rays,OF,AA,21,2028,60,https://www.justbaseball.com/prospects/top-100-mlb-prospects/,43.333333333333336,2,"{'MLB Pipeline': 12.0, 'Just Baseball': 7.0, 'FanGraphs': None}"
